"識別id","利用時間","制限時間","手数料","制限事項1","制限事項2","種別","普通車","貨物用有り","二輪車","標章車専用有り"
156,"08:00-20:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
157,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
158,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
159,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
160,"09:00-19:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
164,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
166,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
170,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
171,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
172,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
173,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
174,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
175,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
176,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
177,"09:00-17:30","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
178,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
179,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
180,"07:00-20:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
181,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
182,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
183,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
184,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
185,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
186,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
187,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
189,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
190,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
192,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
193,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
194,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
195,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
196,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
197,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
199,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
200,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
201,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
202,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
203,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
